bioregion,gridcode,label,local_area,local_area_pct,sum_area
NARACOORTE COASTAL PLAIN,1,Parks & Reserves,1155.9817455722798,0.01965007962419266,58828.34918129622
NARACOORTE COASTAL PLAIN,2,Parks & Reserves,2687.5411977069302,0.04568445715558856,58828.34918129622
NARACOORTE COASTAL PLAIN,3,Parks & Reserves,28462.05406063847,0.48381527710261923,58828.34918129622
NARACOORTE COASTAL PLAIN,4,Parks & Reserves,2666.9398744276,0.04533426335334805,58828.34918129622
NARACOORTE COASTAL PLAIN,5,Parks & Reserves,23855.832302950934,0.40551592276425147,58828.34918129622
NARACOORTE COASTAL PLAIN,1,Private,18.160929865599996,0.0671042585746098,270.63751617801995
NARACOORTE COASTAL PLAIN,2,Private,64.06754763456,0.23672825755767596,270.63751617801995
NARACOORTE COASTAL PLAIN,3,Private,124.72234012945,0.4608464557715278,270.63751617801995
NARACOORTE COASTAL PLAIN,4,Private,11.78134079896,0.043531809504231744,270.63751617801995
NARACOORTE COASTAL PLAIN,5,Private,51.90535774945,0.19178921859195489,270.63751617801995
NARACOORTE COASTAL PLAIN,1,State Forest,344.47960995383005,0.004131323495680012,83382.385890149
NARACOORTE COASTAL PLAIN,2,State Forest,1819.94050844486,0.02182643839002779,83382.385890149
NARACOORTE COASTAL PLAIN,3,State Forest,43492.2482177212,0.5215999488791251,83382.385890149
NARACOORTE COASTAL PLAIN,4,State Forest,4037.68032299638,0.048423660223824334,83382.385890149
NARACOORTE COASTAL PLAIN,5,State Forest,33688.03723103274,0.40401862901134283,83382.385890149
NARACOORTE COASTAL PLAIN,1,Other Crown Land,283.35450333293,0.08152126991991197,3475.83524657188
NARACOORTE COASTAL PLAIN,2,Other Crown Land,350.36127004957,0.10079915910718773,3475.83524657188
NARACOORTE COASTAL PLAIN,3,Other Crown Land,2115.1829229979503,0.6085394654663498,3475.83524657188
NARACOORTE COASTAL PLAIN,4,Other Crown Land,200.54423204853,0.05769670246779424,3475.83524657188
NARACOORTE COASTAL PLAIN,5,Other Crown Land,526.3923181429,0.15144340303875625,3475.83524657188
VICTORIAN VOLCANIC PLAIN,1,Parks & Reserves,863.2574788704198,0.029353660532151236,29408.852702540757
VICTORIAN VOLCANIC PLAIN,2,Parks & Reserves,950.8033647174499,0.03233051538373362,29408.852702540757
VICTORIAN VOLCANIC PLAIN,3,Parks & Reserves,11263.77702402047,0.3830063395518773,29408.852702540757
VICTORIAN VOLCANIC PLAIN,4,Parks & Reserves,901.8367513131299,0.030665485676536316,29408.852702540757
VICTORIAN VOLCANIC PLAIN,5,Parks & Reserves,15429.17808361929,0.5246439988557016,29408.852702540757
VICTORIAN VOLCANIC PLAIN,1,Private,220.87608823799002,0.6048602832796456,365.16877425042003
VICTORIAN VOLCANIC PLAIN,2,Private,83.50569230766001,0.22867697951193033,365.16877425042003
VICTORIAN VOLCANIC PLAIN,3,Private,57.652629917640006,0.15787940805175155,365.16877425042003
VICTORIAN VOLCANIC PLAIN,4,Private,0.44176430479999995,0.0012097537794867788,365.16877425042003
VICTORIAN VOLCANIC PLAIN,5,Private,2.6925994823299995,0.007373575377185752,365.16877425042003
VICTORIAN VOLCANIC PLAIN,1,State Forest,158.40489180915,0.005852052127868263,27068.26397782831
VICTORIAN VOLCANIC PLAIN,2,State Forest,1063.7796844767101,0.039299885849645,27068.26397782831
VICTORIAN VOLCANIC PLAIN,3,State Forest,10827.71416531894,0.4000150942146844,27068.26397782831
VICTORIAN VOLCANIC PLAIN,4,State Forest,215.55322898319,0.007963319301147286,27068.26397782831
VICTORIAN VOLCANIC PLAIN,5,State Forest,14802.81200724032,0.5468696485066551,27068.26397782831
VICTORIAN VOLCANIC PLAIN,1,Other Crown Land,1042.27827702805,0.3764628461415745,2768.6086096158497
VICTORIAN VOLCANIC PLAIN,2,Other Crown Land,534.35305480919,0.19300418735724895,2768.6086096158497
VICTORIAN VOLCANIC PLAIN,3,Other Crown Land,1076.45939705283,0.38880880212324087,2768.6086096158497
VICTORIAN VOLCANIC PLAIN,4,Other Crown Land,28.222277553549997,0.010193668204140237,2768.6086096158497
VICTORIAN VOLCANIC PLAIN,5,Other Crown Land,87.29560317222999,0.03153049617379556,2768.6086096158497
VICTORIAN MIDLANDS,1,Parks & Reserves,4481.67239065693,0.011515259026249816,389194.23179631936
VICTORIAN MIDLANDS,2,Parks & Reserves,14493.26567006372,0.037239158461240034,389194.23179631936
VICTORIAN MIDLANDS,3,Parks & Reserves,188921.8144550562,0.4854178171734221,389194.23179631936
VICTORIAN MIDLANDS,4,Parks & Reserves,13218.253769107067,0.03396312866225802,389194.23179631936
VICTORIAN MIDLANDS,5,Parks & Reserves,168079.22551143536,0.43186463667682984,389194.23179631936
VICTORIAN MIDLANDS,1,Private,1055.75093407528,0.36476068251610627,2894.36604513608
VICTORIAN MIDLANDS,2,Private,568.7079773368899,0.1964879246329577,2894.36604513608
VICTORIAN MIDLANDS,3,Private,1078.44733430607,0.37260226159658605,2894.36604513608
VICTORIAN MIDLANDS,4,Private,30.32198611271,0.010476209864217224,2894.36604513608
VICTORIAN MIDLANDS,5,Private,161.13781330513,0.055672921390132614,2894.36604513608
VICTORIAN MIDLANDS,1,State Forest,1808.5454719893798,0.006032665795477838,299792.0874955626
VICTORIAN MIDLANDS,2,State Forest,10331.11990377072,0.03446094922009453,299792.0874955626
VICTORIAN MIDLANDS,3,State Forest,118370.80484779921,0.3948429921438513,299792.0874955626
VICTORIAN MIDLANDS,4,State Forest,2956.6638029199603,0.009862381050879882,299792.0874955626
VICTORIAN MIDLANDS,5,State Forest,166324.95346908335,0.5548010117896964,299792.0874955626
VICTORIAN MIDLANDS,1,Other Crown Land,9269.45695960346,0.18269303905342618,50737.87708404549
VICTORIAN MIDLANDS,2,Other Crown Land,7835.2853043922905,0.1544267469333299,50737.87708404549
VICTORIAN MIDLANDS,3,Other Crown Land,22670.766630074857,0.4468213479354199,50737.87708404549
VICTORIAN MIDLANDS,4,Other Crown Land,848.9645324549601,0.016732362117726773,50737.87708404549
VICTORIAN MIDLANDS,5,Other Crown Land,10113.40365751992,0.19932650396009724,50737.87708404549
SOUTH EAST COASTAL PLAIN,1,Parks & Reserves,6285.09836722345,0.05908511730389138,106373.62933371903
SOUTH EAST COASTAL PLAIN,2,Parks & Reserves,9248.265951238121,0.08694134071729509,106373.62933371903
SOUTH EAST COASTAL PLAIN,3,Parks & Reserves,53772.59466691014,0.5055068159629384,106373.62933371903
SOUTH EAST COASTAL PLAIN,4,Parks & Reserves,3413.8045027214303,0.03209258275856627,106373.62933371903
SOUTH EAST COASTAL PLAIN,5,Parks & Reserves,33653.865845625885,0.3163741432573088,106373.62933371903
SOUTH EAST COASTAL PLAIN,1,Private,318.7557925448,0.36967933092331884,862.2494304690199
SOUTH EAST COASTAL PLAIN,2,Private,239.01613526918,0.2772006879020696,862.2494304690199
SOUTH EAST COASTAL PLAIN,3,Private,220.94039638406002,0.25623721927410226,862.2494304690199
SOUTH EAST COASTAL PLAIN,4,Private,9.259233629610002,0.010738463027541171,862.2494304690199
SOUTH EAST COASTAL PLAIN,5,Private,74.27787264137001,0.08614429887296837,862.2494304690199
SOUTH EAST COASTAL PLAIN,1,State Forest,236.16119838277,0.003923484400700833,60191.70060688546
SOUTH EAST COASTAL PLAIN,2,State Forest,1824.11621015375,0.03030511169749348,60191.70060688546
SOUTH EAST COASTAL PLAIN,3,State Forest,22239.16255373069,0.36947224167955645,60191.70060688546
SOUTH EAST COASTAL PLAIN,4,State Forest,1295.01314290886,0.021514812338774832,60191.70060688546
SOUTH EAST COASTAL PLAIN,5,State Forest,34597.24750170938,0.5747843498834743,60191.70060688546
SOUTH EAST COASTAL PLAIN,1,Other Crown Land,2610.9154436605695,0.3068676818276412,8508.27766583464
SOUTH EAST COASTAL PLAIN,2,Other Crown Land,1426.5332718603502,0.1676641651680759,8508.27766583464
SOUTH EAST COASTAL PLAIN,3,Other Crown Land,4003.2426731563796,0.47051152188316275,8508.27766583464
SOUTH EAST COASTAL PLAIN,4,Other Crown Land,214.05830227238005,0.025158828928672664,8508.27766583464
SOUTH EAST COASTAL PLAIN,5,Other Crown Land,253.52797488496003,0.02979780219244756,8508.27766583464
SOUTH EASTERN HIGHLANDS,1,Parks & Reserves,1450.71294402802,0.002149141237481479,675019.8259319948
SOUTH EASTERN HIGHLANDS,2,Parks & Reserves,4268.84829687702,0.006324033951125885,675019.8259319948
SOUTH EASTERN HIGHLANDS,3,Parks & Reserves,87690.36974234348,0.12990784325670737,675019.8259319948
SOUTH EASTERN HIGHLANDS,4,Parks & Reserves,5626.49429242794,0.008335302277469378,675019.8259319948
SOUTH EASTERN HIGHLANDS,5,Parks & Reserves,575983.4006563183,0.8532836792772158,675019.8259319948
SOUTH EASTERN HIGHLANDS,1,Private,320.68438875453,0.09497929870818778,3376.36088196222
SOUTH EASTERN HIGHLANDS,2,Private,379.97824778748,0.11254076832173528,3376.36088196222
SOUTH EASTERN HIGHLANDS,3,Private,1350.16320576309,0.3998871130678494,3376.36088196222
SOUTH EASTERN HIGHLANDS,4,Private,86.91792674086,0.025743079540225693,3376.36088196222
SOUTH EASTERN HIGHLANDS,5,Private,1238.6171129162599,0.3668497403620018,3376.36088196222
SOUTH EASTERN HIGHLANDS,1,State Forest,414.22214786767,0.00028224570135723247,1467594.1772569204
SOUTH EASTERN HIGHLANDS,2,State Forest,4925.06511194724,0.0033558767050661633,1467594.1772569204
SOUTH EASTERN HIGHLANDS,3,State Forest,156398.92719398963,0.10656823910702262,1467594.1772569204
SOUTH EASTERN HIGHLANDS,4,State Forest,6319.98347320976,0.004306356328711005,1467594.1772569204
SOUTH EASTERN HIGHLANDS,5,State Forest,1299535.9793299064,0.8854872821578432,1467594.1772569204
SOUTH EASTERN HIGHLANDS,1,Other Crown Land,2605.15369279563,0.10243674551514056,25431.82799975403
SOUTH EASTERN HIGHLANDS,2,Other Crown Land,3621.94086248416,0.14241763755712686,25431.82799975403
SOUTH EASTERN HIGHLANDS,3,Other Crown Land,13627.12753906631,0.5358296516946446,25431.82799975403
SOUTH EASTERN HIGHLANDS,4,Other Crown Land,908.6672141464701,0.03572952813911994,25431.82799975403
SOUTH EASTERN HIGHLANDS,5,Other Crown Land,4668.93869126146,0.1835864370939681,25431.82799975403
MURRAY DARLING DEPRESSION,1,Parks & Reserves,26579.78502307747,0.022002416714289635,1208039.3425970806
MURRAY DARLING DEPRESSION,2,Parks & Reserves,43323.05061976725,0.03586228452347422,1208039.3425970806
MURRAY DARLING DEPRESSION,3,Parks & Reserves,331269.89603400714,0.2742211154496283,1208039.3425970806
MURRAY DARLING DEPRESSION,4,Parks & Reserves,27551.333290470826,0.022806652332398474,1208039.3425970806
MURRAY DARLING DEPRESSION,5,Parks & Reserves,779315.2776297582,0.6451075309802096,1208039.3425970806
MURRAY DARLING DEPRESSION,1,Private,552.8360666234599,0.5350246199129494,1033.2908917600998
MURRAY DARLING DEPRESSION,2,Private,196.13986839608003,0.1898205722707735,1033.2908917600998
MURRAY DARLING DEPRESSION,3,Private,238.73386865777,0.23104226560161828,1033.2908917600998
MURRAY DARLING DEPRESSION,4,Private,12.25778679076,0.011862861550903813,1033.2908917600998
MURRAY DARLING DEPRESSION,5,Private,33.32330129203,0.032249680663755144,1033.2908917600998
MURRAY DARLING DEPRESSION,1,State Forest,4893.14729019123,0.020362273231728657,240304.56887135218
MURRAY DARLING DEPRESSION,2,State Forest,10855.184957648711,0.04517261160964471,240304.56887135218
MURRAY DARLING DEPRESSION,3,State Forest,87290.88445367684,0.36325103956058485,240304.56887135218
MURRAY DARLING DEPRESSION,4,State Forest,6100.34431864687,0.02538588570037846,240304.56887135218
MURRAY DARLING DEPRESSION,5,State Forest,131165.00785118854,0.5458281898976634,240304.56887135218
MURRAY DARLING DEPRESSION,1,Other Crown Land,7917.2570980781,0.6648545203745624,11908.25489705284
MURRAY DARLING DEPRESSION,2,Other Crown Land,2231.6913149022503,0.18740708308608417,11908.25489705284
MURRAY DARLING DEPRESSION,3,Other Crown Land,1535.47576477015,0.1289421311556039,11908.25489705284
MURRAY DARLING DEPRESSION,4,Other Crown Land,38.035087263870004,0.0031940101713210105,11908.25489705284
MURRAY DARLING DEPRESSION,5,Other Crown Land,185.79563203847,0.015602255212428508,11908.25489705284
RIVERINA,1,Parks & Reserves,11865.332737060051,0.09611031506346894,123455.35158452526
RIVERINA,2,Parks & Reserves,14638.29150037158,0.1185715427682314,123455.35158452526
